snr_db,mean_corr,mean_phase,mean_kdr,ci_kdr_lo,ci_kdr_hi,std_kdr,mean_kgr,ci_kgr_lo,ci_kgr_hi,mean_leaked_bits
10,0.0014304336274179436,0.4621116091400833,0.06431666666666666,0.05536814318919892,0.0732651901441344,0.06440651925249666,0.006400000000000001,0.006400000000000001,0.006400000000000001,633.17
15,-0.00394703876913597,0.4943789732979168,0.07171666666666666,0.06187731381595271,0.08155601951738062,0.07081821603388652,0.006400000000000001,0.006400000000000001,0.006400000000000001,637.845
20,-0.0028293428766747843,0.5032090254478931,0.06709999999999999,0.0586124676188687,0.07558753238113129,0.061088560485758885,0.006400000000000001,0.006400000000000001,0.006400000000000001,637.685
25,-0.0026019940712503063,0.5064344920675983,0.043149999999999994,0.0331611558261046,0.05313884417389539,0.07189417183920019,0.057366,0.054397871581949295,0.060334128418050706,562.34
30,0.001738225246575968,0.506500201310248,0.044958333333333336,0.035408968141199294,0.05450769852546738,0.06873104536686622,0.0582805,0.05526062007247257,0.061300379927527425,553.195
