elevation_deg,d_0.5,d_1,d_2,d_4,d_8
15.0,0.6309209332714371,0.47817250106316606,0.2960784666426464,0.14520663338523424,0.07178560038371455
30.0,0.5198124633980018,0.3923274698084904,0.25507149412462904,0.1330272259753626,0.07922467429537086
45.0,0.4255498241744552,0.32799936869794877,0.21375579392484784,0.1216301953027541,0.07258170782954695
60.0,0.3481573600469241,0.2781844770047781,0.1916236664789968,0.11479064987124261,0.07667795462795422
75.0,0.2801952682902132,0.22457459134405286,0.17345831968346417,0.10857819066515235,0.07213522272458943
