eve_snr_offset_db,mean_corr_ae,mean_risk_score,risk_class
-10.0,0.20984153463277913,0.2579872654842363,LOW
-5.0,0.223050436526296,0.28666907314667056,LOW
0.0,0.2262045129923228,0.33053783747702253,LOW
5.0,0.2182498202314485,0.3669844561581623,MEDIUM
10.0,0.22364875577558166,0.3851439581985165,MEDIUM
