distance_lambda,mean_corr_ae,mean_phase_ae,mean_risk_score,high_risk_rate,risk_class
0.5,0.3234461004428317,0.7089852495961213,0.42174039822034975,0.0,MEDIUM
1.0,0.2217766195782397,0.5847448662559072,0.32775707456438447,0.0,LOW
2.0,0.11499471119728871,0.4061592602063964,0.21942825565543564,0.0,LOW
4.0,0.034799973073359046,0.2072735378108078,0.12511868925204572,0.0,LOW
8.0,0.0028410556366437532,0.05963761906256773,0.07385944164543129,0.0,LOW
